#4u 1543-47
#All NICER
# obs id	MJD		day 	T_in		err 1   err 2		norm    err 1 		err 2		Flux_tot(0.8-10)  error
4202230148	59443.2937	73.2937	0.954800	0.9537	0.9559		5820.54	5786.8879	5853.7353	6.67093570E-08	8.71795000E-11
4202230151	59451.9443	81.9443	0.944500	0.9435	0.9455		5968.21	5936.2582	5999.669 	6.50959706E-08	9.41744000E-11
4202230158	59453.6247	83.6247	0.933200	0.9321	0.9343		5849.18	5813.5539	5884.9979	6.07484790E-08	8.04374950E-11
4202230161	59454.0122	84.0122	0.919200	0.9181	0.9204		5965.03	5928.1551	6002.4605	5.76136872E-08	9.13407000E-11
4202230162	59459.9992	89.9992	0.921900	0.92	0.9241		5790.84	5730.2728	5845.894 	5.66106580E-08	4.94309550E-11
4202230165	59461.0488	91.0488	0.915400	0.9143	0.9165		5931.84	5894.7439	5968.4657	5.62344507E-08	5.95422150E-11
4202230166	59464.1972	94.1972	0.911000	0.9102	0.9119		5934.96	5905.0448	5965.1573	5.50611941E-08	3.92530050E-11
4202230167	59466.0695	96.0695	0.906000	0.9051	0.907		6022.23	5989.5203	6053.8684	5.43811879E-08	5.38354100E-11
4202230168	59468.5874	98.5874	0.918200	0.9173	0.919		5777.13	5748.419	5806.2504	5.57285238E-08	6.27951500E-11
4202230171	59471.4324	101.432	0.911300	0.9103	0.9123		5835.00	5802.059	5867.7865	5.42278190E-08	5.13318550E-11

